stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\17898981\projetos\Patronicos\build\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.63109] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.63118] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.63128] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.63138] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.63146] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.63157] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.63164] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.63173] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.63191] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.63201] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.63217] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.63230] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.63237] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.63247] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.63257] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.63268] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.63279] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.63289] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.63299] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.63309] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.63333] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.63344] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.63354] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.63373] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.63389] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.63401] Single Buffer requirement not met.
